gene,partial_corr_y_given_anchor,corr_with_anchor
SOX11,-0.238,-0.53
C10orf116,0.198,0.489
RDH5,0.189,-0.055
ITGB6,-0.189,0.054
C1QTNF7,0.186,0.296
SLC6A11,-0.185,-0.501
SLC6A17,-0.18,-0.439
HSPB7,0.176,0.014
LRRN4CL,0.175,0.114
HBA2,0.172,0.052
SGCG,0.172,0.086
CXADR,-0.169,-0.219
LOC283392,0.167,-0.01
MLXIPL,0.167,0.076
GPIHBP1,0.166,0.173
CDH3,-0.165,-0.449
TRHDE,0.163,-0.009
LOC84740,-0.162,-0.54
RASEF,-0.161,0.58
MYOC,0.16,-0.031
AQPEP,0.16,-0.029
CFD,0.16,0.203
HEPACAM,0.159,-0.021
LCT,-0.158,-0.5
CA4,0.157,-0.001
WISP2,0.157,0.11
KIAA0408,0.156,-0.007
PLAC9,0.156,0.102
LAD1,-0.155,-0.393
CD36,0.155,0.038
