gene,partial_corr,corr_with_anchor
KRT17,-0.37,-0.325
KRT14,-0.362,-0.378
KRT6B,-0.347,-0.231
COL17A1,-0.338,-0.36
KRT5,-0.335,-0.362
KLK5,-0.319,-0.244
ANXA8,-0.3,-0.29
TP63,-0.284,-0.322
OSR1,-0.259,-0.407
KLK7,-0.258,-0.181
SOX10,-0.254,-0.307
KRT16,-0.252,-0.128
NRXN2,-0.243,-0.257
CALML3,-0.236,-0.28
FAT2,-0.23,-0.267
DSG3,-0.23,-0.274
DSC3,-0.226,-0.244
KLK6,-0.223,-0.218
MIA,-0.205,-0.187
ACTN1,-0.195,-0.215
MPZL2,-0.194,-0.283
EIF3J,0.194,0.185
COL7A1,-0.189,-0.141
CTRC,-0.186,0.066
TRIM29,-0.186,-0.342
ALDH1A3,-0.186,-0.284
LIPG,-0.184,-0.157
TM9SF1,0.179,-0.034
NFU1,0.177,-0.071
PPP1R14C,-0.177,-0.07
