rho,obs_corr,mean_unique_r2,mean_redundancy,frac_novel,frac_redundant,frac_inert,cohort
-0.4,-0.397,0.0165,0.39,1.0,0.0,0.0,METABRIC
-0.35,-0.355,0.0101,0.566,0.725,0.275,0.0,METABRIC
-0.3,-0.322,0.0067,0.702,0.625,0.35,0.025,METABRIC
-0.25,-0.272,0.0032,0.861,0.225,0.725,0.05,METABRIC
-0.2,-0.245,0.0007,0.987,0.0,0.95,0.05,METABRIC
-0.15,-0.197,0.0011,0.971,0.05,0.675,0.275,METABRIC
-0.1,-0.163,0.0012,0.962,0.0,0.8,0.2,METABRIC
-0.05,-0.133,0.0041,0.821,0.3,0.525,0.175,METABRIC
0.0,-0.093,0.007,0.693,0.625,0.25,0.125,METABRIC
0.05,-0.056,0.0109,0.454,0.85,0.05,0.1,METABRIC
0.1,-0.026,0.0185,0.224,1.0,0.0,0.0,METABRIC
0.15,0.017,0.0233,-0.152,1.0,0.0,0.0,METABRIC
0.2,0.048,0.0352,-0.589,1.0,0.0,0.0,METABRIC
0.25,0.093,0.0427,-0.956,1.0,0.0,0.0,METABRIC
0.3,0.126,0.0509,-1.617,1.0,0.0,0.0,METABRIC
0.35,0.179,0.0648,-2.784,1.0,0.0,0.0,METABRIC
0.4,0.188,0.084,-2.392,1.0,0.0,0.0,METABRIC
0.45,0.246,0.0918,-4.539,1.0,0.0,0.0,METABRIC
0.5,0.267,0.1204,-4.081,1.0,0.0,0.0,METABRIC
0.55,0.317,0.1344,-6.642,1.0,0.0,0.0,METABRIC
0.6,0.348,0.1621,-6.809,1.0,0.0,0.0,METABRIC
