rho,obs_corr,mean_unique_r2,mean_redundancy,frac_novel,frac_redundant,frac_inert
-0.4,-0.373,0.0225,-0.461,1.0,0.0,0.0
-0.35,-0.331,0.0148,-0.094,0.9,0.075,0.025
-0.3,-0.299,0.0105,0.1,0.9,0.1,0.0
-0.25,-0.249,0.0057,0.496,0.525,0.35,0.125
-0.2,-0.222,0.0016,0.952,0.075,0.7,0.225
-0.15,-0.174,0.0015,0.908,0.025,0.425,0.55
-0.1,-0.141,0.0007,0.965,0.0,0.55,0.45
-0.05,-0.112,0.0022,0.861,0.125,0.525,0.35
0.0,-0.072,0.0042,0.716,0.325,0.25,0.425
0.05,-0.035,0.0072,0.393,0.7,0.075,0.225
0.1,-0.006,0.0136,0.053,0.95,0.025,0.025
0.15,0.037,0.0178,-0.562,1.0,0.0,0.0
0.2,0.068,0.0283,-1.158,1.0,0.0,0.0
0.25,0.112,0.0351,-1.626,1.0,0.0,0.0
0.3,0.145,0.0428,-2.698,1.0,0.0,0.0
0.35,0.197,0.0558,-5.103,1.0,0.0,0.0
0.4,0.206,0.0737,-3.942,1.0,0.0,0.0
0.45,0.265,0.0812,-8.108,1.0,0.0,0.0
0.5,0.284,0.1084,-6.514,1.0,0.0,0.0
0.55,0.334,0.1221,-11.472,1.0,0.0,0.0
0.6,0.365,0.1488,-10.977,1.0,0.0,0.0
